"area_key","display_name","base_score","day_risk_score","night_risk_score","day_risk_category","night_risk_category","latitude","longitude"
"baldia-town","Baldia Town","3.2","3.1","4.0","Medium","High","24.9383","66.9448"
"banaras","Banaras","3.0","2.9","3.8","Medium","High","24.972","67.013"
"clifton","Clifton","1.5","1.3","1.9","Low","Low","24.8138","67.0306"
"defence-view","Defence View","1.7","1.5","2.1","Low","Low","24.821","67.021"
"dha","DHA","1.6","1.4","2.0","Low","Low","24.8055","67.0672"
"fb-area","FB Area","2.7","2.5","3.3","Medium","Medium","24.933","67.07"
"garden","Garden","2.6","2.4","3.2","Medium","Medium","24.8733","67.0167"
"gulberg","Gulberg","2.4","2.2","2.9","Medium","Medium","24.905","67.05"
"gulistan-e-johar","Gulistan-e-Johar","2.8","2.6","3.4","Medium","Medium","24.92","67.1344"
"gulshan","Gulshan","2.6","2.4","3.1","Medium","Medium","24.9207","67.0862"
"jamshed-town","Jamshed Town","2.8","2.6","3.4","Medium","Medium","24.879","67.058"
"keamari","Keamari","3.3","3.2","4.1","Medium","High","24.815","66.975"
"kharadar","Kharadar","2.8","2.7","3.5","Medium","Medium","24.846","67.004"
"korangi","Korangi","3.0","2.8","3.7","Medium","High","24.8323","67.1474"
"landhi","Landhi","3.4","3.3","4.2","Medium","High","24.84","67.19"
"lyari","Lyari","3.6","3.5","4.4","High","High","24.8607","66.9904"
"malir","Malir","2.9","2.7","3.6","Medium","High","24.8937","67.1984"
"mehmoodabad","Mehmoodabad","2.7","2.5","3.2","Medium","Medium","24.8465","67.0588"
"nazimabad","Nazimabad","2.8","2.6","3.3","Medium","Medium","24.9262","67.0407"
"new-karachi","New Karachi","3.4","3.2","4.1","Medium","High","24.985","67.062"
"north-nazimabad","North Nazimabad","2.0","1.8","2.5","Low","Medium","24.9388","67.0453"
"orangi-town","Orangi Town","3.5","3.4","4.3","High","High","24.9519","66.9698"
"pechs","PECHS","1.9","1.7","2.4","Low","Medium","24.8775","67.0746"
"saddar","Saddar","3.3","3.1","4.0","Medium","High","24.8547","67.0268"
"sakhi-hasan","Sakhi Hasan","2.5","2.3","3.0","Medium","Medium","24.955","67.064"
"scheme-33","Scheme 33","2.3","2.1","2.8","Low","Medium","24.956","67.153"
"shah-faisal","Shah Faisal","2.8","2.6","3.5","Medium","Medium","24.884","67.162"
"site-area","SITE Area","3.4","3.3","4.2","Medium","High","24.936","67"
"sohrab-goth","Sohrab Goth","3.5","3.4","4.3","High","High","25.001","67.122"
"surjani-town","Surjani Town","3.4","3.2","4.1","Medium","High","25.002","67.066"
