"record_id","incident_date","area_key","display_name","crime_type","time_of_day","day_of_week","incident_count","base_risk_score","latitude","longitude","population_band","poverty_index","unemployment_index"
"1","2024-01-01","clifton","Clifton","Kidnapping","night","Monday","4","1","24.8138","67.0306","high","0.28","0.22"
"2","2024-01-01","dha","DHA","Mobile Snatching","night","Monday","4","1","24.8055","67.0672","high","0.25","0.19"
"3","2024-01-01","saddar","Saddar","Robbery","day","Monday","6","3","24.8547","67.0268","high","0.52","0.44"
"4","2024-01-01","gulshan","Gulshan","Street Crime","night","Monday","6","2","24.9207","67.0862","high","0.41","0.33"
"5","2024-01-01","gulistan-e-johar","Gulistan-e-Johar","Street Crime","night","Monday","6","2","24.92","67.1344","high","0.43","0.35"
"6","2024-01-01","nazimabad","Nazimabad","Drug Offense","night","Monday","6","2","24.9262","67.0407","high","0.47","0.38"
"7","2024-01-01","north-nazimabad","North Nazimabad","Drug Offense","night","Monday","4","1","24.9388","67.0453","medium","0.34","0.28"
"8","2024-01-01","lyari","Lyari","Robbery","day","Monday","6","3","24.8607","66.9904","medium","0.68","0.52"
"9","2024-01-01","malir","Malir","Kidnapping","night","Monday","6","2","24.8937","67.1984","high","0.49","0.41"
"10","2024-01-01","korangi","Korangi","Bike Snatching","night","Monday","6","2","24.8323","67.1474","high","0.51","0.43"
"11","2024-01-01","landhi","Landhi","Burglary","day","Monday","6","3","24.84","67.19","high","0.58","0.46"
"12","2024-01-01","orangi-town","Orangi Town","Kidnapping","day","Monday","6","3","24.9519","66.9698","high","0.69","0.55"
"13","2024-01-01","baldia-town","Baldia Town","Burglary","day","Monday","6","3","24.9383","66.9448","high","0.66","0.53"
"14","2024-01-01","keamari","Keamari","Burglary","day","Monday","6","3","24.815","66.975","medium","0.63","0.5"
"15","2024-01-01","garden","Garden","Bike Snatching","night","Monday","6","2","24.8733","67.0167","medium","0.46","0.37"
"16","2024-01-01","fb-area","FB Area","Street Crime","night","Monday","6","2","24.933","67.07","high","0.39","0.31"
